Source ID,Source Name,Source Type,URL,Organization Type,Content Type,Has Source Code,Has Repo,Has Documentation,Date Accessed,Key Use Cases Extracted,Notes
SRC023,DualEntry RevRec,Web Research - Vendor,https://www.dualentry.com/core-financials/revenue-recognition-software,Software Vendor,Product Page,No,No,Yes,2026-02-05,"AI contract parsing, revenue recognition",ASC 606/IFRS 15 compliance
SRC024,Dokka Close,Web Research - Vendor,https://dokka.com/financial-close/,Software Vendor,Product Page,No,No,Yes,2026-02-05,"Financial close automation",AI-powered close software
SRC025,Trintech Close,Web Research - Vendor,https://www.trintech.com/white-paper/the-ai-financial-close-redefining-month-end-close-processes-and-kpis/,Software Vendor,White Paper,No,No,Yes,2026-02-05,"5 AI use cases in financial close",Redefining close KPIs
SRC026,BlackLine Intercompany,Web Research - Vendor,https://www.blackline.com/products/intercompany/,Software Vendor,Product Page,No,No,Yes,2026-02-05,"Intercompany accounting automation",Verity AI for compliance
SRC027,Sievo Procurement,Web Research - Vendor,https://sievo.com/resources/ai-in-procurement,Software Vendor,Guide,No,No,Yes,2026-02-05,"Spend analysis, procurement AI",Ultimate guide to AI in procurement
SRC028,Coupa Procurement,Web Research - Vendor,https://www.coupa.com/blog/ai-in-procurement/,Software Vendor,Blog,No,No,Yes,2026-02-05,"S2P AI automation",Integrated AI across S2P
SRC029,Expensify,Web Research - Vendor,https://use.expensify.com/blog/expensifys-ai-powered-expense-management-framework,Software Vendor,Blog,No,No,Yes,2026-02-05,"AI expense management framework",15+ years of financial data training
SRC030,Navan Travel,Web Research - Vendor,https://navan.com,Software Vendor,Product Page,No,No,Yes,2026-02-05,"Corporate travel management, expense automation",AI-powered insights
SRC031,Emburse T&E,Web Research - Vendor,https://www.emburse.com/,Software Vendor,Product Page,No,No,Yes,2026-02-05,"Travel and expense automation",IDC Leader in AI-Enabled T&E
SRC032,Wolters Kluwer Tax,Web Research - Vendor,https://www.wolterskluwer.com/en/know/artificial-intelligence-tax-accounting,Software Vendor,Article,No,No,Yes,2026-02-05,"AI in tax and accounting",Digital tax workflow transformation
SRC033,SS&C Blue Prism,Web Research - Vendor,https://www.blueprism.com/solutions/industry/financial-services-ai-automation/,Software Vendor,Solution Page,No,No,Yes,2026-02-05,"RPA in financial services, case studies",Multiple enterprise case studies
SRC034,UiPath O2C,Web Research - Vendor,https://www.uipath.com/solutions/department/finance-and-accounting-automation/order-to-cash,Software Vendor,Solution Page,No,No,Yes,2026-02-05,"Order to cash RPA automation",RPA and AI combination
SRC035,Papaya Global Payroll,Web Research - Vendor,https://www.papayaglobal.com/blog/payroll-ai-revolution/,Software Vendor,Blog,No,No,Yes,2026-02-05,"AI payroll validation, anomaly detection",AI validation agents
SRC036,Cube FP&A,Web Research - Vendor,https://www.cubesoftware.com/blog/ai-for-fpa-financial-planning-analysis,Software Vendor,Blog,No,No,Yes,2026-02-05,"FP&A AI agents, forecasting",Complete guide to AI for FP&A
SRC037,GTreasury,Web Research - Vendor,https://www.gtreasury.com/posts/top-5-ways-ai-is-transforming-cash-forecasting,Software Vendor,Blog,No,No,Yes,2026-02-05,"5 ways AI transforms cash forecasting",Modern treasury AI
SRC038,Emagia O2C,Web Research - Vendor,https://www.emagia.com/blog/order-to-cash-automation-with-ai/,Software Vendor,Blog,No,No,Yes,2026-02-05,"O2C automation, credit management, cash application",Enterprise finance transformation
SRC039,firmai/financial-machine-learning,GitHub Repository,https://github.com/firmai/financial-machine-learning,Open Source,Curated List,Yes,Yes,Yes,2026-02-05,"NLP in finance, accounting anomalies, sentiment extraction",Curated list of practical tools
SRC040,AI4Finance-Foundation/FinRobot,GitHub Repository,https://github.com/AI4Finance-Foundation/FinRobot,Open Source,AI Platform,Yes,Yes,Yes,2026-02-05,"AI Agent Platform for Financial Analysis using LLMs",501(c)(3) nonprofit
SRC041,georgezouq/awesome-ai-in-finance,GitHub Repository,https://github.com/georgezouq/awesome-ai-in-finance,Open Source,Curated List,Yes,Yes,Yes,2026-02-05,"LLMs and deep learning in financial market",Trading agents and financial analysis
SRC042,sergepaulc/Machine-Learning-for-Finance,GitHub Repository,https://github.com/sergepaulc/Machine-Learning-for-Finance,Open Source,Code Examples,Yes,Yes,Yes,2026-02-05,"Enterprise finance ML: reconciliation, fraud detection, account coding",scikit-learn and PyTorch examples
SRC043,kennethleungty/Finance-LLMs,GitHub Repository,https://github.com/kennethleungty/Finance-LLMs,Open Source,Compilation,Yes,Yes,Yes,2026-02-05,"Real-world LLM implementations in financial services",Intuit, Brex, Roots Automation cases
SRC044,vas3k/TaxHacker,GitHub Repository,https://github.com/vas3k/TaxHacker,Open Source,Application,Yes,Yes,Yes,2026-02-05,"Self-hosted AI accounting app, receipt/invoice processing",LLM analyzer with custom prompts
SRC045,hananedupouy/LLMs-in-Finance,GitHub Repository,https://github.com/hananedupouy/LLMs-in-Finance,Open Source,Learning Resource,Yes,Yes,Yes,2026-02-05,"AI Agents with AutoGen, LlamaIndex, CrewAI for finance",Multimodal LLM evaluation
SRC046,AI-Alliance/deep-research-agent,GitHub Repository,https://github.com/The-AI-Alliance/deep-research-agent-for-finance,Open Source,Application,Yes,Yes,Yes,2026-02-05,"Automated financial research using MCP",Production-quality AI app example
SRC047,tinztwins/finllm-apps,GitHub Repository,https://github.com/tinztwins/finllm-apps,Open Source,Curated List,Yes,Yes,Yes,2026-02-05,"LLM apps in finance with RAG and AI agents",Open-source models focus
SRC048,AuditBoard,Web Research - Vendor,https://auditboard.com/blog/ai-101-for-audit-practitioners-practical-use-cases-to-elevate-audits,Software Vendor,Blog,No,No,Yes,2026-02-05,"AI 101 for audit practitioners",Practical use cases
SRC049,DataSnipper,Web Research - Vendor,https://www.datasnipper.com/resources/ai-use-cases-internal-audit,Software Vendor,Resource,No,No,Yes,2026-02-05,"6 AI use cases for internal auditors",Audit automation
SRC050,ZBrain Internal Audit,Web Research - Vendor,https://zbrain.ai/generative-ai-for-internal-audit/,Software Vendor,Guide,No,No,Yes,2026-02-05,"GenAI in internal audit scope and use cases",Comprehensive audit AI guide
SRC051,Capgemini Treasury,Web Research - Consulting,https://www.capgemini.com/insights/expert-perspectives/ai-powered-cash-management-the-future-of-treasury-is-autonomous/,Consulting Firm,Expert Perspective,No,No,Yes,2026-02-05,"Autonomous treasury, cash management",Future of treasury
SRC052,SAP Taulia Treasury,Web Research - Vendor,https://taulia.com/resources/blog/practical-ai-use-cases-in-corporate-treasury/,Software Vendor,Blog,No,No,Yes,2026-02-05,"Practical AI use cases in corporate treasury",Actionable treasury insights
SRC053,Matellio Payroll,Web Research - Vendor,https://www.matellio.com/blog/ai-in-payroll/,Software Vendor,Blog,No,No,Yes,2026-02-05,"AI in payroll transformation",Workforce management focus
SRC054,Modern Treasury Payroll,Web Research - Vendor,https://www.moderntreasury.com/journal/how-ai-and-automation-are-reshaping-payroll-workflows,Software Vendor,Journal,No,No,Yes,2026-02-05,"AI and automation reshaping payroll workflows",Modern payroll perspective
SRC055,Hypatos Intercompany,Web Research - Vendor,https://www.hypatos.ai/blog/how-to-use-agentic-ai-to-automate-your-intercompany-reconciliation,Software Vendor,Blog,No,No,Yes,2026-02-05,"Agentic AI for intercompany reconciliation",Agentic AI application
SRC056,Nominal Intercompany,Web Research - Vendor,https://www.nominal.so/blog/intercompany-transactions,Software Vendor,Blog,No,No,Yes,2026-02-05,"AI transaction matching for intercompany",Cross-system matching
SRC057,TPGenie Transfer Pricing,Web Research - Vendor,https://intrapricing.com/,Software Vendor,Product Page,No,No,Yes,2026-02-05,"Transfer pricing documentation automation",OECD guideline compliance
SRC058,Editorial GE Tax AI,Web Research - News,https://editorialge.com/agentic-ai-in-tax-workflows/,News/Editorial,Article,No,No,Yes,2026-02-05,"Agentic AI in tax workflows 2026 guide",Enterprise deployment guide
SRC059,Savant Labs Tax,Web Research - Vendor,https://savantlabs.io/blog/ai-in-tax-compliance-and-reporting/,Software Vendor,Blog,No,No,Yes,2026-02-05,"AI in tax compliance and reporting",Best tax automation tools
SRC060,Art of Procurement,Web Research - Community,https://artofprocurement.com/blog/state-of-ai-in-procurement,Community/Blog,Article,No,No,Yes,2026-02-05,"State of AI in procurement 2026",Industry state report
